Bronx Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4743,31,,A5,3303 EASTCHESTER ROAD,,10469,1,0,1,"1,800","1,782",1950,1,A5,"500,000",11/13/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4743,127,,A5,3315 EASTCHESTER RD,,10469,1,0,1,"1,800","1,633",1950,1,A5,10,9/17/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4744,10,,A5,3339 MICKLE AVENUE,,10469,1,0,1,"1,520","1,440",1940,1,A5,"450,000",9/6/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4745,23,,A1,3315 KINGSLAND AVENUE,,10469,1,0,1,"3,159","1,320",1930,1,A1,"450,000",10/18/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4745,39,,A1,3310 MICKLE AVENUE,,10469,1,0,1,"2,375","1,088",1920,1,A1,"115,000",10/20/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4750,24,,A5,3327 GUNTHER AVENUE,,10469,1,0,1,"1,710","1,539",1950,1,A5,"62,891",11/19/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4750,49,,A5,3320 TIEMANN AVENUE,,10469,1,0,1,"1,710","1,890",1950,1,A5,"440,000",6/16/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4750,49,,A5,3320 TIEMANN AVENUE,,10469,1,0,1,"1,710","1,890",1950,1,A5,"375,180",1/24/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4750,53,,A5,3328 TIEMANN AVE,,10469,1,0,1,"2,328","1,890",1950,1,A5,"525,000",6/19/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4750,66,,A5,3354 TIEMANN AVENUE,,10469,1,0,1,"1,710","1,539",1950,1,A5,"515,000",1/21/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4751,56,,A2,3332 GUNTHER AVENUE,,10469,1,0,1,"2,090",948,1960,1,A2,"485,000",7/17/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4751,62,,A2,3346 GUNTHER AVENUE,,10469,1,0,1,"2,090",948,1960,1,A2,0,10/24/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4751,64,,A2,3350 GUNTHER AVE,,10469,1,0,1,"2,090",948,1960,1,A2,"540,000",1/27/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4760,13,,A1,3129 FENTON,,10469,1,0,1,"5,000","1,602",1935,1,A1,0,1/8/2020
